equipnum,serialnum,apprtype,owner_name,region_name,substn_name,designation,norm_name,fluidtype,eqp_desc,mfr,year_mfg,model,kv_ratings,mva_ratings,ratedkv,ratedamps,oilpres,cooling,fluidvol,has_filtration,temp_rise,triphase,pct_impedance_hx,external_id,in_service,spare,surveillance,eqp_remarks
10049423,RFP-3465-2,LTC,,OLTC,OLD HICKORY,T2,LTC_NONDIVERTER_A,OIL,SubTranLTC,WEST,1970,UTT A,69,44.8,69.000,,SEALED,,360,0,,1,,T-2 LTC,1,0,,
10049423,RFP-3465-2,XFMR,,161/69,OLD HICKORY,T2,TRN_IEEE_INC_69KV,OIL,SubTranLTC,WEST,1970,SL,69,44.8,69.000,,INERT GAS-PRESSURE,OA/FA/FA,9860,0,,1,,T-2,1,0,,
100015,100190503,LTC,,OLTC,OLD HICKORY,T3,LTC_VACUUM_A,OIL,SubTranLTC,REINHAUSEN,2003,RMV,69,44.8,69.000,,DESSICANT-BREATHING,,345,0,,1,,T-3 LTC,1,0,,
100015,100190503,XFMR,,161/69,OLD HICKORY,T3,TRN_IEEE_INC_69KV,OIL,SubTranLTC,US-WEST,2003,,69,44.8,69.000,,INERT GAS-PRESSURE,OA/FA/FA,9860,0,,1,,T-3,1,0,,
10068201,G1686-02,LTC,,OLTC,OLD SMYRNA,T2,LTC_VACUUM_A,OIL,SubTranLTC,REINHAUSEN,2005,RMV,161.7,67.2,161.700,,DESSICANT-BREATHING,,345,0,,1,,00533TC,1,0,,
10068201,G1686-02,XFMR,,161/69,OLD SMYRNA,T2,TRN_IEEE_INC_69_288KV,OIL,SubTranLTC,GE-PROLEC,2005,,161.7,67.2,161.000,,CONSERVATOR/DIAPHRAGM,OA/FA/FA,9537,1,,1,,T-2,1,0,,
10068206,G1686-01,LTC,,OLTC,OLD SMYRNA,T3,LTC_VACUUM_A,OIL,SubTranLTC,REINHAUSEN,2005,RMV,161.7,67.2,161.700,,DESSICANT-BREATHING,,345,0,,1,,00532TC,1,0,,
10068206,G1686-01,XFMR,,161/69,OLD SMYRNA,T3,TRN_IEEE_INC_69_288KV,OIL,SubTranLTC,GE-PROLEC,2005,,161.7,67.2,161.000,,CONSERVATOR/DIAPHRAGM,OA/FA/FA,9537,0,,1,,T-3,1,0,,
672,C-41187-1-2,XFMR,,4kv,OPRYLAND,Padmount,TRN_IEEE_INC_69KV,OIL,,,,,23.9,,0.000,,,,0,,,,,,,,,
671,C-41187-1-1,XFMR,,4kv,OPRYLAND,Padmount,TRN_IEEE_INC_69KV,OIL,,,,,23.9,,0.000,,,,0,,,,,,,,,
591,3316533204,XFMR,,4kv,PADMOUNT 096-54-806-1,,TRN_IEEE_INC_69KV,,,,,,,,0.000,,,,0,,,,,,,,,
273,90107406422-0000273,XFMR,,4kv,PADMOUNT 68-55-813,,TRN_CPS_ESTER_INC_69KV,ESTER,,ERMCO,,,,,0.000,,,,0,,,,,SOYBEAN OIL,,,,
272,90107406423-0000272,XFMR,,4kv,PADMOUNT 68-55-814,,TRN_IEEE_INC_69KV,ESTER,,ERMCO,,,,,14.400,,,,0,,,,,SOYBEAN OIL,,,,
274,10207443695-0000274,XFMR,,4kv,PADMOUNT 68-55-815,,TRN_IEEE_INC_69KV,OIL,,ERMCO,,,,,14.400,,,,0,,,,,,,,,
271,90107406424-0000271,XFMR,,4kv,PADMOUNT 78-05-806,,TRN_CPS_ESTER_INC_69KV,ESTER,,ERMCO,,,,,14.400,,,,0,,,,,SOYBEAN OIL,,,,
275,10207443681-0000275,XFMR,,4kv,PADMOUNT 78-05-809,,TRN_IEEE_INC_69KV,OIL,,ERMCO,,,,,14.400,,,,0,,,,,,,,,
276,10207443693-0000276,XFMR,,4kv,PADMOUNT 78-05-810,,TRN_IEEE_INC_69KV,OIL,,ERMCO,,,,,14.400,,,,0,,,,,,,,,
106846,G2529-03,XFMR,,161/69,PEABODY,T2,TRN_IEEE_INC_69KV,OIL,SubTranLTC,GE-PROLEC,2011,ONAN/ONAF/ONAF,69,24/32/40//44.8,69.000,,CONSERVATOR,OA/FA/FA,7464,0,65,1,,714,1,0,,
106846,G2529-03,LTC,,OLTC,PEABODY,T2,LTC_VACUUM_A,OIL,SubTranLTC,REINHAUSEN,2011,RMV II,69,24/32/40//44.8,69.000,,DESSICANT-BREATHING,,343,,65,1,,715,1,0,,
106847,G2529-01,XFMR,,161/69,PEABODY,T3,TRN_IEEE_INC_69KV,OIL,SubTranLTC,GE-PROLEC,2011,ONAN/ONAF/ONAF,69,24/32/40//44.8,69.000,,CONSERVATOR,OA/FA/FA,7464,0,,1,,716,1,0,,
106847,G2529-01,LTC,,OLTC,PEABODY,T3,LTC_VACUUM_A,OIL,SubTranLTC,REINHAUSEN,2011,RMV II,69,24/32/40//44.8,69.000,,DESSICANT-BREATHING,,343,0,,1,,717,1,0,1,
106848,G2529-02,XFMR,,161/69,PEABODY,T4,TRN_IEEE_INC_69KV,OIL,SubTranLTC,GE-PROLEC,2011,ONAN/ONAF/ONAF,69,24/32/40//44.8,69.000,,CONSERVATOR,OA/FA/FA,7464,0,65,1,,718,1,0,,
106848,G2529-02,LTC,,OLTC,PEABODY,T4,LTC_VACUUM_A,OIL,SubTranLTC,REINHAUSEN,2011,RMV II,69,24/32/40//44.8,69.000,,DESSICANT-BREATHING,,343,0,65,1,,719,1,0,,
10049497,51439-B,LTC,,OLTC,PENNINGTON BEND,T2,LTC_VACUUM_A,OIL,SubTranLTC,REINHAUSEN,1997,RMV,69,44.8,69.000,,DESSICANT-BREATHING,OTHER,345,0,,1,,T-2 LTC,1,0,0,
10049497,51439-B,XFMR,,161/69,PENNINGTON BEND,T2,TRN_IEEE_INC_69KV,OIL,SubTranLTC,NAT,1997,,69,44.8,69.000,,INERT GAS-PRESSURE,OA/FA/FA,9500,0,,1,,T-2,1,0,,
10049426,01-8226-60990-3,LTC,,OLTC,PENNINGTON BEND,T3,LTC_VACUUM_A,OIL,SubTranLTC,REINHAUSEN,1975,RMV,69,44.8,69.000,,DESSICANT-BREATHING,OTHER,0,0,,1,,T-3 LTC,1,0,0,
10049426,01-8226-60990-3,XFMR,,161/69,PENNINGTON BEND,T3,TRN_IEEE_INC_69KV,OIL,SubTranLTC,AC,1975,,69,44.8,69.000,,INERT GAS-PRESSURE,OA/FA/FA,6399,0,,1,,T-3,1,0,,
10049545,F-66280900,XFMR,,161/69,PENNINGTON BEND,T4,TRN_IEEE_INC_69KV,OIL,SubTranLTC,SWE,2011,,69,44.8,69.000,,INERT GAS-PRESSURE,OA/FA/FA,4295,,,1,,0266REB,1,0,,Unit rebuilt 2011.  MFR Southwest  Previous ID 0000266
10049545,F-66280900,LTC,,OLTC,PENNINGTON BEND,T4,LTC_VACUUM_A,OIL,SubTranLTC,REINHAUSEN,2011,RMV,69,44.8,69.000,,DESSICANT-BREATHING,,400,0,,1,,266TCRB,1,0,0,UNIT REBUILT BY SOUTHWEST 2011.  FORMER ID 00266TC
10049519,911099,XFMR,,161/69,RADNOR,SPARE,TRN_IEEE_INC_69_288KV,OIL,SubTranNonLTC,MOLONEY,1954,CR,161.7,83,161.000,,INERT GAS-PRESSURE,FOA-2 STAGE,12380,0,,0,,SPARE,0,1,,
10049430,911100,XFMR,,161/69,RADNOR,T1-A,TRN_IEEE_INC_69_288KV,OIL,SubTranNonLTC,MOLONEY,1954,,161.7,83,161.000,,INERT GAS-PRESSURE,FOA-2 STAGE,12380,0,,0,,T-1A,1,0,,
10049431,911101,XFMR,,161/69,RADNOR,T1-B,TRN_IEEE_INC_69_288KV,OIL,SubTranNonLTC,MOLONEY,1954,,161.7,83,161.000,,INERT GAS-PRESSURE,FOA-2 STAGE,12380,0,,0,,T-1B,1,0,,
10049432,911102,XFMR,,161/69,RADNOR,T1-C,TRN_IEEE_INC_69_288KV,OIL,SubTranNonLTC,MOLONEY,1954,,161.7,83,161.000,,INERT GAS-PRESSURE,FOA-2 STAGE,12380,0,,0,,T-1C,1,0,,
10049553,19791-10102,LTC,,OLTC,RADNOR,T11,LTC_VACUUM_A,OIL,SubTranLTC,REINHAUSEN,2001,RMV,161.7,80,161.700,,DESSICANT-BREATHING,OTHER,345,0,,1,,T-11 LTC,1,0,0,
10049553,19791-10102,XFMR,,161/69,RADNOR,T11,TRN_IEEE_INC_69_288KV,OIL,SubTranLTC,FER PACK,2001,,161.7,89.6,161.000,,CONSERVATOR/DIAPHRAGM,OA/FA/FA,9880,0,,1,,T-11,1,0,,Rebuilt by Southwest 2013. DD
10049554,19791-10101,LTC,,OLTC,RADNOR,T12,LTC_VACUUM_A,OIL,SubTranLTC,REINHAUSEN,2001,RMV,161.7,80,161.700,,DESSICANT-BREATHING,OTHER,345,0,,1,,T-12 LTC,1,0,0,
10049554,19791-10101,XFMR,,161/69,RADNOR,T12,TRN_IEEE_INC_69_288KV,OIL,SubTranLTC,FER PACK,2001,,161.7,86.6,161.000,,CONSERVATOR/DIAPHRAGM,OA/FA/FA,9880,0,,1,,T-12,1,0,,
10049433,158150,XFMR,,161/69,RADNOR,T2-A,TRN_IEEE_INC_69_288KV,OIL,SubTranNonLTC,FER PACK,1967,,161.7,83.3,161.000,,CONSERVATOR,OA/FA/FA,8400,0,,0,,T-2A,1,0,,
10049434,158149,XFMR,,161/69,RADNOR,T2-B,TRN_IEEE_INC_69_288KV,OIL,SubTranNonLTC,FER PACK,1967,,161.7,83.3,161.000,,CONSERVATOR,OA/FA/FA,8400,0,,0,,T-2B,1,0,,
10049435,158148,XFMR,,161/69,RADNOR,T2-C,TRN_IEEE_INC_69_288KV,OIL,SubTranNonLTC,FER PACK,1967,,161.7,83.3,161.000,,CONSERVATOR,OA/FA/FA,8400,0,,0,,T-2C,1,0,,
Regions T1,20110705021,XFMR,NES,,REGIONS,T1,TRN_IEEE_INC_69KV,OIL,POWER TRANSFORMER,PAUWELS,,,23.9/13.8-.480/.277,2.5,23.900,,SEALED,OA,517,,55,1,,,1,,,
Regions T2,876005734,XFMR,NES,,REGIONS,T2,TRN_IEEE_INC_69KV,OIL,POWER TRANSFORMER,RTE-ASEA,,,23.9/13.8-.480/.277,2.5,23.900,,SEALED,OA,656,,,,,,1,,,
10049394,4086479,XFMR,,161/69,ROSEBANK,T2,TRN_IEEE_INC_69KV,OIL,SubTranLTC,WEST,1948,SHELL FORM,69,20,69.000,,INERT GAS-PRESSURE,OA/FA/FA,4730,0,,1,,T-2,1,0,,The OLTC Selector switch is located in the main tank.
10049394,4086479,DIV,,OLTC,ROSEBANK,T2,LTC_DIVERTER_A,OIL,SubTranLTC,WEST,1948,UNR,69,20,69.000,1200,FREE-BREATHING,OTHER,450,0,,1,,T-2 LTC,1,0,0,DIVERTER IS IN FRONT TANK AND THE SELECTOR SWITCH IS IN MAIN TANK.
10049437,8803001,SEL,,OLTC,ROSEBANK,T3,LTC_SELECTOR_A,OIL,SubTranLTC,GE,1948,LRT 59,69,20,0.000,,SEALED,,0,0,,1,,T-3 LTC,1,0,,SELECTOR IS IN TOP COMPARTMENT.
10049437,8803001,XFMR,,161/69,ROSEBANK,T3,TRN_IEEE_INC_69KV,OIL,SubTranLTC,GE,1948,OAPT,69,20,69.000,,INERT GAS-PRESSURE,OA/FA/FA,5860,0,,1,,T-3,1,0,,
10049437,8803001,DIV,,OLTC,ROSEBANK,T3,LTC_DIVERTER_A,OIL,SubTranLTC,GE,1948,LRT 59,69,20,69.000,,SEALED,,570,0,,1,,T-3 LTC,1,0,,DIVERTER IS LOCATED IN BOTTOM COMPARTMENT.
10049351,70320-2,LTC,,OLTC,SAUNDERSVILLE,T2,LTC_VACUUM_A,OIL,SubTranLTC,REINHAUSEN,1988,RMV,161.7,67.2,161.700,,DESSICANT-BREATHING,OTHER,0,0,,1,,T-2 LTC,1,0,,RMV Retrofit
10049351,70320-2,XFMR,,161/69,SAUNDERSVILLE,T2,TRN_IEEE_INC_69_288KV,OIL,SubTranLTC,FED PAC,1988,,161.7,67.2,161.000,,CONSERVATOR/DIAPHRAGM,OA/FA/FA,9300,0,,1,,T-2,1,0,,
10049352,70401-A,LTC,,OLTC,SAUNDERSVILLE,T3,LTC_VACUUM_A,OIL,SubTranLTC,REINHAUSEN,1991,RMV,161.7,67.2,161.700,,DESSICANT-BREATHING,OTHER,0,0,,1,,T-3 LTC,1,0,,RMV Retrofit
10049352,70401-A,XFMR,,161/69,SAUNDERSVILLE,T3,TRN_IEEE_INC_69_288KV,OIL,SubTranLTC,NAT,1991,,161.7,67.2,161.000,,CONSERVATOR/DIAPHRAGM,OA/FA/FA,9425,0,,1,,T-3,1,0,,
10049549,E30120702,LTC,,OLTC,SHARONDALE,T2,LTC_VACUUM_A,OIL,SubTranLTC,REINHAUSEN,2001,RMV II,161.7,67.2,161.700,,DESSICANT-BREATHING,OTHER,345,0,,1,,T-2 LTC,1,0,,
10049549,E30120702,XFMR,,161/69,SHARONDALE,T2,TRN_IEEE_INC_69_288KV,OIL,SubTranLTC,DSTAR,2001,,161.7,67.2,161.000,,CONSERVATOR/DIAPHRAGM,OA/FA/FA,11375,0,,1,,T-2,1,0,,
10049528,19319-10101,LTC,,OLTC,SHARONDALE,T3,LTC_VACUUM_A,OIL,SubTranLTC,REINHAUSEN,1999,RMV II,161.7,67.2,161.700,,DESSICANT-BREATHING,OTHER,345,0,,1,,T-3 LTC,1,0,,
10049528,19319-10101,XFMR,,161/69,SHARONDALE,T3,TRN_IEEE_INC_69_288KV,OIL,SubTranLTC,FER PACK,1999,,161.7,67.2,161.000,,CONSERVATOR/DIAPHRAGM,OA/FA/FA,10870,0,,1,,T-3,1,0,,
10049504,3762843,XFMR,,161/69,SOUTH,GND-1,TRN_IEEE_INC_69KV,OIL,SubTranNonLTC,GE,1975,HT,13.8,1,13.800,,INERT GAS-PRESSURE,OA,500,0,,0,,GND 1,1,0,,
104745,89G99,XFMR,,161/69,SOUTH,GND-2,TRN_IEEE_INC_69KV,OIL,SubTranNonLTC,UPTEGRAFF,2000,PTZ,13.8,1.275,13.800,,INERT GAS-PRESSURE,OA,367,0,,0,,GND 2,1,0,,
104744,UGP-52371,XFMR,,161/69,SOUTH,R1,TRN_IEEE_INC_69KV,OIL,SubTranLTC,WEST,1975,UTT,13.8,74.6,13.800,,INERT GAS-PRESSURE,OA/FA,3889,0,,1,,R-1,1,0,1,
104744,UGP-52371,LTC,,OLTC,SOUTH,R1,LTC_NONDIVERTER_A,OIL,SubTranLTC,WEST,1975,UTT B,13.8,74.6,14.400,,SEALED,OTHER,3889,0,,1,,R1 TAPCHANGER,1,0,,
10049516,9812401152,XFMR,,161/69,SOUTH,R2,TRN_IEEE_INC_69KV,OIL,SubTranLTC,SWE,1999,,13.8,74.6,13.800,,INERT GAS-PRESSURE,OA/FA,3720,0,,1,,R-2,1,0,,
10049516,9812401152,LTC,,OLTC,SOUTH,R2,LTC_VACUUM_A,OIL,SubTranLTC,REINHAUSEN,1999,RMV,13.8,74.6,14.400,,DESSICANT-BREATHING,,3720,0,,1,,R-2 TAPC,1,0,,
10049501,C-04741-5-4,XFMR,,161/69,SOUTH,SPARE,TRN_IEEE_INC_69_288KV,OIL,SubTranNonLTC,MCGE,1963,,161.7,100,161.000,,INERT GAS-PRESSURE,FOA-2 STAGE,10590,0,,0,,SPARE,0,1,,Spare Regulator
10049441,C-04741-5-5,XFMR,,161/69,SOUTH,T1-A,TRN_IEEE_INC_69_288KV,OIL,SubTranNonLTC,MCGE,1963,,161.7,100,161.000,,INERT GAS-PRESSURE,FOA-2 STAGE,10590,0,,0,,T-1A,1,0,,
10049442,C-04741-5-7,XFMR,,161/69,SOUTH,T1-B,TRN_IEEE_INC_69_288KV,OIL,SubTranNonLTC,MCGE,1963,,161.7,100,161.000,,INERT GAS-PRESSURE,FOA-2 STAGE,10590,0,,0,,T-1B,1,0,,
10049443,C-04741-5-6,XFMR,,161/69,SOUTH,T1-C,TRN_IEEE_INC_69_288KV,OIL,SubTranNonLTC,MCGE,1963,,161.7,100,161.000,,INERT GAS-PRESSURE,FOA-2 STAGE,10590,0,,0,,T-1C,1,0,,
10049444,C-04741-5-2,XFMR,,161/69,SOUTH,T2-A,TRN_IEEE_INC_69_288KV,OIL,SubTranNonLTC,MCGE,1963,,161.7,100,161.000,,INERT GAS-PRESSURE,FOA-2 STAGE,10590,0,,0,,T-2A,1,0,,
10049445,C-04741-5-1,XFMR,,161/69,SOUTH,T2-B,TRN_IEEE_INC_69_288KV,OIL,SubTranNonLTC,MCGE,1963,,161.7,100,161.000,,INERT GAS-PRESSURE,FOA-2 STAGE,10590,0,,0,,T-2B,1,0,,
10049446,C-04741-5-3,XFMR,,161/69,SOUTH,T2-C,TRN_IEEE_INC_69_288KV,OIL,SubTranNonLTC,MCGE,1963,,161.7,100,161.000,,INERT GAS-PRESSURE,FOA-2 STAGE,10590,0,,0,,T-2C,1,0,,
269,C-84653-5-2-0000269,XFMR,,4kv,SPARE,,TRN_IEEE_INC_69_288KV,OIL,,MCGRAW EDISON,,,,,69.000,,,,6565,,,,,,,,,
170,2371617-0000170,XFMR,,161/69,SPARE,,TRN_IEEE_INC_69KV,OIL,,ALLIS CHALMERS,,,,,13.200,,,,456,,,,,WATERWORKS,0,,,
00048-1,RFP885291-00048-1,XFMR,,161/69,SPARE,,TRN_IEEE_INC_69_288KV,OIL,,WESTINGHOUSE,,,,,69.000,,,,9860,,,,,BRICK CHURCH,0,,,
498,4842-001-0000498,XFMR,,4kv,SPARE,,TRN_IEEE_INC_69KV,OIL,,CARTE,,,,,0.000,,,,0,,,,,,,,,
10049396,5069233,LTC,,,SPARE,,,,SubTranLTC,WESTINGHOUSE,,,69,,,,,,,,,,,,0,1,,
10049507,C-501975,XFMR,,161/69,SPARE,GND-2 STORED AT WEST,TRN_IEEE_INC_69KV,OIL,SubTranNonLTC,GE,1978,,13.8,1,13.800,,SEALED,OA,467,0,,1,,GND-2,0,0,,
10049508,C-861979,XFMR,,161/69,SPARE,GND-S STORED AT WEST,TRN_IEEE_INC_69KV,OIL,SubTranNonLTC,GE,1978,,13.8,1,13.800,,SEALED,OA,467,0,,1,,GND-1,0,0,1,
10049396,5069233,XFMR,,161/69,SPARE,STORED AT BORDEAUX,TRN_IEEE_INC_69KV,OIL,SubTranLTC,WEST,1954,,69,20,69.000,,INERT GAS-PRESSURE,OA/FA/FA,4280,0,,1,,SPARE,0,1,,
10049396,5069233,DIV,,OLTC,SPARE,STORED AT BORDEAUX,LTC_DIVERTER_A,OIL,SubTranLTC,WEST,1954,,69-13.8,20,69.000,,SEALED,,,0,,,,,0,1,,DIVERTER IS IN FRONT TANK AND THE SELECTOR SWITCH IS IN MAIN TANK.
10049395,4086480,XFMR,,161/69,SPARE,STORED AT RADNOR,TRN_IEEE_INC_69_288KV,OIL,SubTranLTC,WEST,1948,SHELL FORM,69,15,69.000,,,,4730,,,,,SPARE,0,1,,From Edgehill. Stored at Radnor.
10049395,4086480,DIV,,OLTC,SPARE,STORED AT RADNOR,LTC_DIVERTER_A,OIL,SubTranLTC,WEST,1948,UT,69,15,69.000,,,,280,0,,,,SPARE,0,1,,From Edgehill. Selector switch located in main tank. Stored at Radnor.
107248,2-6332-00655-1,XFMR,,161/69,SPARE,STORED AT SOUTH,TRN_IEEE_INC_69KV,OIL,POWER TRANSFORMER,AC,1958,,13.8,53.3,13.800,2230,INERT GAS-PRESSURE,OA/FA,2647,,,,,,0,1,,STORED AT SOUTH.
107248,2-6332-00655-1,LTC,,OLTC,SPARE,STORED AT SOUTH,LTC_NONDIVERTER_A,OIL,POWER TRANSFORMER,AC,1958,TLH 20,13.8,40/53.3,13.800,2230,SEALED,OA/FA,695,,,,,,0,1,,OLD SOUTH R2 STORED AT SOUTH.
10049470,F-961738,XFMR,,161/69,SPARE,T1,TRN_IEEE_INC_69KV,OIL,SubTranLTC,GE,1969,,69,14,69.000,,SEALED,OA/FA,2650,0,,1,,SPARE,1,0,0,REMOVED FROM OLD GE PLANT. NES Owned.
10049525,50002-101-01,LTC,,OLTC,STADIUM,T2,LTC_VACUUM_A,OIL,SubTranLTC,REINHAUSEN,1999,RMV II,69,44.8,69.000,,DESSICANT-BREATHING,OTHER,343,0,,1,,T-2 LTC,1,0,,
10049525,50002-101-01,XFMR,,161/69,STADIUM,T2,TRN_IEEE_INC_69KV,OIL,SubTranLTC,FER PACK,1999,,69,44.8,69.000,,CONSERVATOR/DIAPHRAGM,OA/FA/FA,9500,0,,1,,T-2,1,0,,
10049526,50002-101-02,LTC,,OLTC,STADIUM,T3,LTC_VACUUM_A,OIL,SubTranLTC,REINHAUSEN,1999,RMV II,69,44.8,69.000,,FREE-BREATHING,OTHER,343,0,,1,,T-3 LTC,1,0,,
10049526,50002-101-02,XFMR,,161/69,STADIUM,T3,TRN_IEEE_INC_69KV,OIL,SubTranLTC,FER PACK,1999,,69,44.8,69.000,,CONSERVATOR/DIAPHRAGM,OA/FA/FA,6492,0,,1,,T-3,1,0,,
10049448,L-248544B,XFMR,Customer,161/69,STONES RIVER,T1,TRN_IEEE_INC_69KV,OIL,SubTranNonLTC,GENERAL ELECTRIC,1974,,69,8.4,69.000,,INERT GAS-PRESSURE,OA/FA,1730,0,,,,T-1,0,0,0,Privately Owned.
10049447,L-248544A,XFMR,Customer,161/69,STONES RIVER,T2,TRN_IEEE_INC_69KV,OIL,SubTranNonLTC,GENERAL ELECTRIC,1974,,69,8.4,69.000,,INERT GAS-PRESSURE,OA/FA,1730,0,,1,,T-2,0,0,0,
10049449,C-01590-5-1,DIV,,OLTC,TENTH AVE,T1,LTC_DIVERTER_A,OIL,SubTranLTC,PENN,1962,394,69,33.3,69.000,,SEALED,OTHER,0,0,,1,,T-1 LTC,1,0,,DIVERTER IS IN FRONT COMPARTMENT.
10049449,C-01590-5-1,XFMR,,161/69,TENTH AVE,T1,TRN_IEEE_INC_69KV,OIL,SubTranLTC,PENN,1962,,69,37.3,69.000,,INERT GAS-PRESSURE,OA/FA/FA,5980,0,,1,,T-1,0,0,1,
10049449,C-01590-5-1,SEL,,OLTC,TENTH AVE,T1,LTC_SELECTOR_A,OIL,SubTranLTC,PENN,1962,394,69,33.3,69.000,,SEALED,OTHER,0,0,,1,,T-1 LTC,0,0,,SELECTOR IS IN MIDDLE TANK BETEWWN DIVERTER AND MAIN TANK. IT HAS A GAS HEADSPACE THAT IS CONNECTED TO THE MAIN TANK.
10049467,RBP-1049-2,LTC,,OLTC,TENTH AVE,T1 SPARE,LTC_NONDIVERTER_A,OIL,SubTranLTC,WEST,1972,UTT A,69,44.8,69.000,,SEALED,OTHER,465,1,,1,,057-1TC,0,0,,Spare from Brick Church
10049467,RBP-1049-2,XFMR,,161/69,TENTH AVE,T1 SPARE,TRN_IEEE_INC_69KV,OIL,SubTranLTC,WEST,1972,,69,44.8,69.000,,INERT GAS-PRESSURE,OA/FA/FOA,7743,0,,1,,T-1,0,0,,Processed oil & transformer December 2008.
10049450,1922210,LTC,,OLTC,TENTH AVE,T2,LTC_NONDIVERTER_A,OIL,SubTranLTC,MOLONEY,1959,MC,69,33.3,69.000,,SEALED,,0,0,,1,,T-2 LTC,1,0,0,
10049450,1922210,XFMR,,161/69,TENTH AVE,T2,TRN_IEEE_INC_69KV,OIL,SubTranLTC,MOLONEY,1959,,69,33,69.000,,INERT GAS-PRESSURE,OA/FA/FA,6025,0,,1,,T-2,1,0,,
10049380,D-573964,LTC,,OLTC,TENTH AVE,T3,LTC_NONDIVERTER_A,OIL,SubTranLTC,GE,1965,LRT 65 D3,69,44.8,69.000,,FREE-BREATHING,,0,0,,1,,T-3,1,0,,REACTOR IS IN THE MAIN TANK IN A BAFFLE. THE REACTOR SAMPLING VALVE IS AT THE BOTTOM OF THE TAPCHANGER CABINET.
10049380,D-573964,XFMR,,161/69,TENTH AVE,T3,TRN_IEEE_INC_69KV,OIL,SubTranLTC,GE,1965,,69,44.8,69.000,,CONSERVATOR/DIAPHRAGM,OA/FA,8485,0,,1,,T-3,1,0,,Moved to Tenth Ave from Demonbreum 7-2011.
10049380,D-573964,OLTC REACTOR,,OLTC,TENTH AVE,T3,TRN_IEEE_INC_69KV,OIL,POWER TRANSFORMER,GE,1963,LRT 65 D3,69-13.8,44.8,69,,INERT GAS-PRESSURE,OA/FA,100,0,,1,,,1,0,,"The reactor is located in the main tank. The sampling valve is usually located at the bottom of the LTC cabinet. Do not sample this routinely, only for fault analysis location."
109082,E41910114,XFMR,,161/69,TRINITY HILLS,T1,TRN_IEEE_INC_69_288KV,OIL,POWER TRANSFORMER,DSTAR,2014,,161-23.9,67.2,161.000,,INERT GAS-PRESSURE,OA/FA/FA,9745,,55/65,1,,,1,0,,
109082,E41910114,LTC,,OLTC,TRINITY HILLS,T1,LTC_VACUUM_A,OIL,POWER TRANSFORMER,REINHAUSEN,2014,RMV II,,,,,DESSICANT-BREATHING,,,,,1,,,1,0,,
393,E-690510H-0000393,XFMR,,4kv,TROUSDALE UNIT,,TRN_IEEE_INC_69KV,OIL,,GE,,,,,23.9,,,,560,,,,,,,,,
507,2981309-0000507,XFMR,,4kv,TWIN LONG,,TRN_IEEE_INC_69KV,OIL,,ALLIS CHALMERS,,,,,23.900,,,,970,,,,,,,,,
10049424,2414303,XFMR,,161/69,TYSON/OSCAR MAYER,SPARE,TRN_IEEE_INC_69KV,OIL,SubTranLTC,AC,1951,,69,12.5,69.000,,SEALED,OA/FA,3272,0,,1,,T-1,1,0,,High side tap changer only. Nes owned.
10049424,2414303,LTC,,,TYSON/OSCAR MAYER,SPARE,LTC_GENERIC,OIL,,AC,1950,,,,,,,,,,,,,,,,,
10049470,F-961738,LTC,,OLTC,TYSON/OSCAR MAYER,T1,LTC_NONDIVERTER_A,OIL,POWER TRANSFORMER,GE,,LRT 72,69-13.8/7960,,69.000,,FREE-BREATHING,OA,255,,,,,,1,0,,"Spare from Bosch, GE-PLant. NES owned."
230,SCT1031-0101-0000230,XFMR,,4kv,V A HOSPITAL,,TRN_IEEE_INC_69KV,OIL,,WESTINGHOUSE,,,,,0.000,,,,470,,,,,,,,,
10049494,5069232,DIV,,OLTC,VAN BUREN,T2,LTC_DIVERTER_A,OIL,SubTranLTC,WEST,1954,UT,69,20,69.000,1200,FREE-BREATHING,,450,0,,1,,T-2 LTC,1,0,0,DIVERTER IS IN FRONT TANK AND THE SELECTOR SWITCH IS IN MAIN TANK.
10049494,5069232,XFMR,,161/69,VAN BUREN,T2,TRN_IEEE_INC_69KV,OIL,SubTranLTC,WEST,1954,SHELL FORM,69,20,69.000,1200,INERT GAS-PRESSURE,OA/FA,4280,0,,1,,T-2,1,0,,The OLTC Selector switch is located in the main tank.
10049493,4086482,DIV,,OLTC,VAN BUREN,T3,LTC_DIVERTER_A,OIL,SubTranLTC,WEST,1954,UT,69,20,69.000,1200,FREE-BREATHING,,280,0,,1,,T-3 LTC,1,0,0,DIVERTER IS IN FRONT TANK AND THE SELECTOR SWITCH IS IN MAIN TANK.
10049493,4086482,XFMR,,161/69,VAN BUREN,T3,TRN_IEEE_INC_69KV,OIL,SubTranLTC,WEST,1948,SHELL FORM,69,20,69.000,,INERT GAS-PRESSURE,OA/FA,4730,0,,1,,T-3,1,0,,The OLTC Selector switch is located in the main tank.
10049452,A1007T,XFMR,Customer,161/69,VANDERBILT,,TRN_IEEE_INC_69_288KV,OIL,,MAGNETEK,,,,,69.000,,,,6510,,,,,,0,0,0,
10049453,A1006T,XFMR,Customer,161/69,VANDERBILT,,TRN_IEEE_INC_69_288KV,OIL,,MAGNETEK,,,,,69.000,,,,6510,,,,,,0,0,0,
