equipnum,serialnum,apprtype,owner_name,region_name,substn_name,designation,norm_name,fluidtype,eqp_desc,mfr,year_mfg,model,kv_ratings,mva_ratings,ratedkv,ratedamps,oilpres,cooling,fluidvol,has_filtration,temp_rise,triphase,pct_impedance_hx,external_id,in_service,spare,surveillance,eqp_remarks
10049406,RFR-2366-1,LTC,,OLTC,GREEN HILLS,T2,LTC_NONDIVERTER_A,OIL,SubTranLTC,WEST,1968,UTT,69,24/32/40//44.4,69.000,,SEALED,,360,0,,1,,T-2,1,0,,
10049406,RFR-2366-1,XFMR,,161/69,GREEN HILLS,T2,TRN_IEEE_INC_69KV,OIL,SubTranLTC,WEST,1968,SL,69,24/32/40//44.8,69.000,,INERT GAS-PRESSURE,OA/FA/FA,7870,0,,1,,T-2,1,0,1,
10049513,50003-101-01,LTC,,OLTC,HARPETH HILLS,T1,LTC_VACUUM_A,OIL,SubTranLTC,REINHAUSEN,1999,RMV,69,24/32/40//44.4,69.000,,DESSICANT-BREATHING,,345,0,,1,,T-1 LTC,1,0,,
10049513,50003-101-01,XFMR,,161/69,HARPETH HILLS,T1,TRN_IEEE_INC_69KV,OIL,SubTranLTC,FER PACK,1999,,69,24/32/40//44.8,69.000,,INERT GAS-PRESSURE,OA/FA/FA,7870,0,,1,,T-1,1,0,,
10049407,RBP-1049-1,LTC,,OLTC,HARPETH HILLS,T2,LTC_NONDIVERTER_A,OIL,SubTranLTC,WEST,1972,UTT A,69,44.8,69.000,,SEALED,,360,0,,1,,T-2,1,0,,
10049407,RBP-1049-1,XFMR,,161/69,HARPETH HILLS,T2,TRN_IEEE_INC_69KV,OIL,SubTranLTC,WEST,1972,,69,44.8,69.000,,INERT GAS-PRESSURE,OA/FA/FA,7748,0,,1,,T-2,1,0,,
10049560,90009101-02,LTC,,OLTC,HENDERSONVILLE,T1,LTC_VACUUM_A,OIL,SubTranLTC,REINHAUSEN,2002,RMV,161.7,48/64/80//89.6,161.700,,DESSICANT-BREATHING,OTHER,0,0,,1,,T-1,1,0,0,
10049560,90009101-02,XFMR,,161/69,HENDERSONVILLE,T1,TRN_IEEE_INC_69_288KV,OIL,SubTranLTC,FER PACK,2002,,161.7,48/64/80//89.6,161.000,,CONSERVATOR/DIAPHRAGM,OA/FA/FA,11730,0,,1,,T-1,1,0,,
10049561,90009101-01,LTC,,OLTC,HENDERSONVILLE,T3,LTC_VACUUM_A,OIL,SubTranLTC,REINHAUSEN,2002,RMV,161.7,48/64/80//89.6,161.700,,DESSICANT-BREATHING,OTHER,0,0,,1,,T-3,1,0,,
10049561,90009101-01,XFMR,,161/69,HENDERSONVILLE,T3,TRN_IEEE_INC_69_288KV,OIL,SubTranLTC,FER PACK,2002,ONAN/ONAF/ONAF,161.7,48/64/80//89.6,161.000,,CONSERVATOR/DIAPHRAGM,OA/FA/FA,11730,0,,1,,T-3,1,0,,
10049343,XCS-7057-1,LTC,,OLTC,HERMITAGE,T1,LTC_NONDIVERTER_A,OIL,SubTranLTC,WEST,1978,UTT,161.7,36/48/60//67.2,161.700,,DESSICANT-BREATHING,,410,0,,1,,T-1,1,0,,Changed OLTC from UVW to a UTT in May 2014.
10049343,XCS-7057-1,XFMR,,161/69,HERMITAGE,T1,TRN_IEEE_INC_69_288KV,OIL,SubTranLTC,WEST,1978,SL,161.7,36/48/60//67.2,161.000,,INERT GAS-PRESSURE,OA/FA/FA,11334,0,,1,,T-1,1,0,,
10049344,70320-1,LTC,,OLTC,HERMITAGE,T2,LTC_VACUUM_A,OIL,SubTranLTC,REINHAUSEN,1987,RMV,161.7,67.2,161.700,,DESSICANT-BREATHING,OTHER,0,0,,1,,T2,1,0,0,RMV Retrofit
10049344,70320-1,XFMR,,161/69,HERMITAGE,T2,TRN_IEEE_INC_69_288KV,OIL,SubTranLTC,NAT,1987,,161.7,67.2,161.000,,INERT GAS-PRESSURE,OA/FA/FA,9300,0,,1,,T-2,1,0,,Heating gases possibly due to Core Ground. Measured less than 10k-ohms.
10049337,70512-A,LTC,,OLTC,HERMITAGE,T3,LTC_VACUUM_A,OIL,SubTranLTC,REINHAUSEN,1993,RMV,161.7,36/48/60//67.2,161.700,,DESSICANT-BREATHING,OTHER,0,0,,1,,T-3,1,0,0,RMV Retrofit
10049337,70512-A,XFMR,,161/69,HERMITAGE,T3,TRN_IEEE_INC_69_288KV,OIL,SubTranLTC,NAT,1993,,161.7,67.2,161.000,,INERT GAS-PRESSURE,OA/FA/FA,8846,0,,1,,T-3,1,0,,
107685,C859794C,XFMR,,4kv,HILLHURST,T2,TRN_IEEE_INC_69KV,OIL,POWER TRANSFORMER,GE,,,23.9,2.5,,,FREE-BREATHING,,4150,0,,1,5.600,,1,0,,
10049378,C-04371-5-1,LTC,,OLTC,HILLSBORO RD,T1,LTC_NONDIVERTER_A,OIL,SubTranLTC,MCGE,1971,550,69,24/32/40//44.4,69.000,,FREE-BREATHING,,188,0,,1,,T-1,1,0,,
10049378,C-04371-5-1,XFMR,,161/69,HILLSBORO RD,T1,TRN_IEEE_INC_69KV,OIL,SubTranLTC,MCGE,1971,,69,24/32/40//44.8,69.000,,INERT GAS-PRESSURE,OA/FA/FA,6575,0,,1,,T-1,1,0,,
10049498,51439-A,LTC,,OLTC,HILLSBORO RD,T2,LTC_VACUUM_A,OIL,SubTranLTC,REINHAUSEN,1972,RMV,69,24/32/40//44.4,69.000,,DESSICANT-BREATHING,,345,0,,1,,T-2,1,0,,RMV Retrofit
10049498,51439-A,XFMR,,161/69,HILLSBORO RD,T2,TRN_IEEE_INC_69KV,OIL,SubTranLTC,NAT,1972,,69,44.8,69.000,,INERT GAS-PRESSURE,OA/FA/FA,6565,0,,1,,T-2,1,0,,
10049345,51331-A,XFMR,,161/69,HURRICANE CREEK,T1,TRN_IEEE_INC_69_288KV,OIL,SubTranNonLTC,NAT,1994,,161.7,30/40/50//56,161.000,,INERT GAS-PRESSURE,OA/FA/FA,5390,0,,1,,T-1,1,0,,
10049346,70292-1,LTC,,OLTC,HURRICANE CREEK,T3,LTC_VACUUM_A,OIL,SubTranLTC,REINHAUSEN,1986,RMV,161.7,36/48/60//67.2,161.700,,DESSICANT-BREATHING,OTHER,0,0,,1,,T-3,1,0,0,RMV Retrofit
10049346,70292-1,XFMR,,161/69,HURRICANE CREEK,T3,TRN_IEEE_INC_69_288KV,OIL,SubTranLTC,FED PAC,1986,,161.7,36/48/60//67.2,161.000,,CONSERVATOR/DIAPHRAGM,OA/FA/FA,9300,0,,1,,T-3,1,0,,
10049527,19189-10101,LTC,,OLTC,HURRICANE CREEK,T4,LTC_VACUUM_A,OIL,SubTranLTC,REINHAUSEN,1999,RMV,161.7,67.2,161.700,,DESSICANT-BREATHING,OTHER,336,0,,1,,T-4 LTC,1,0,0,
10049527,19189-10101,XFMR,,161/69,HURRICANE CREEK,T4,TRN_IEEE_INC_69_288KV,OIL,SubTranLTC,FER PACK,1999,,161.7,67.2,161.000,,CONSERVATOR/DIAPHRAGM,OA/FA/FA,11173,0,,1,,T-4,1,0,,
10049547,G711-01,XFMR,,161/69,HURRICANE CREEK,T6,TRN_IEEE_INC_69_288KV,OIL,SubTranNonLTC,GE-PROLEC,2000,,161.7,30/40/50//56,161.000,,CONSERVATOR/DIAPHRAGM,OA/FA/FA,8000,0,,1,,T-6,1,0,,
